scientific_name,common_name,class_name,order_name,family_name,genus_name,species_name,assessment_year,species_recovery_score_best,species_recovery_category,conservation_legacy_category,conservation_dependence_category,conservation_gain_category,recovery_potential_category,url
Panthera leo,Lion,MAMMALIA,CARNIVORA,FELIDAE,Panthera,leo,2024,30%,Largely Depleted,High,Medium,Zero,Low,https://www.iucnredlist.org/species/15951/266696959
Pseudunio auricularius,Spengler's Freshwater Mussel,BIVALVIA,UNIONIDA,MARGARITIFERIDAE,Pseudunio,auricularius,2024,20%,Critically Depleted,High,High,Zero,Medium,https://www.iucnredlist.org/species/12798/266034242
Pucrasia macrolopha,Koklass Pheasant,AVES,GALLIFORMES,PHASIANIDAE,Pucrasia,macrolopha,2024,58%,Moderately Depleted,Indeterminate,Indeterminate,Zero,Indeterminate,https://www.iucnredlist.org/species/22679179/264162844
Pygoscelis antarcticus,Chinstrap Penguin,AVES,SPHENISCIFORMES,SPHENISCIDAE,Pygoscelis,antarcticus,2022,80%,Moderately Depleted,Zero,Indeterminate,Indeterminate,Negative,https://www.iucnredlist.org/species/22697761/184807209
Quercus boyntonii,Boynton Oak,MAGNOLIOPSIDA,FAGALES,FAGACEAE,Quercus,boyntonii,2024,30%,Largely Depleted,,,,,https://www.iucnredlist.org/species/33635/176953395
Quercus brandegeei,Encino Arroyero,MAGNOLIOPSIDA,FAGALES,FAGACEAE,Quercus,brandegeei,2021,33%,Largely Depleted,Zero,Zero,Medium,High,https://www.iucnredlist.org/species/30726/2795363
Rana muscosa,Southern Mountain Yellow-legged Frog,AMPHIBIA,ANURA,RANIDAE,Rana,muscosa,2024,27%,Largely Depleted,Medium,Medium,Zero,Medium,https://www.iucnredlist.org/species/19177/118975294
Rhincodon typus,Whale Shark,CHONDRICHTHYES,ORECTOLOBIFORMES,RHINCODONTIDAE,Rhincodon,typus,2021,29%,Largely Depleted,Low,Low,Medium,High,https://www.iucnredlist.org/species/19488/2365291
Ribes sardoum,Sardinian Currant,MAGNOLIOPSIDA,SAXIFRAGALES,GROSSULARIACEAE,Ribes,sardoum,2021,33%,Largely Depleted,Zero,High,Zero,Indeterminate,https://www.iucnredlist.org/species/61675/102933336
Sphyrna tiburo,Bonnethead Shark,CHONDRICHTHYES,CARCHARHINIFORMES,SPHYRNIDAE,Sphyrna,tiburo,2021,44%,Largely Depleted,High,High,Medium,Medium,https://www.iucnredlist.org/species/39387/205765567
Syngnathus watermeyeri,Estuarine Pipefish,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE,Syngnathus,watermeyeri,2022,13%,Critically Depleted,Zero,Zero,Zero,Medium,https://www.iucnredlist.org/species/41030/126315225
Tragopan blythii,Blyth's Tragopan,AVES,GALLIFORMES,PHASIANIDAE,Tragopan,blythii,2022,33%,Largely Depleted,Indeterminate,Indeterminate,Zero,Indeterminate,https://www.iucnredlist.org/species/22679163/177682428
Tragopan melanocephalus,Western Tragopan,AVES,GALLIFORMES,PHASIANIDAE,Tragopan,melanocephalus,2022,35%,Largely Depleted,Low,Low,Zero,Medium,https://www.iucnredlist.org/species/22679147/112467383
Trechus terrabravensis,Ground-beetle,INSECTA,COLEOPTERA,CARABIDAE,Trechus,terrabravensis,2022,83%,Slightly Depleted,Indeterminate,High,Low,Low,https://www.iucnredlist.org/species/97126159/99166599
Presbytis femoralis,Raffles' Banded Langur,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,femoralis,2024,15%,Critically Depleted,Low,High,Low,High,https://www.iucnredlist.org/species/39801/215090780
