title,creators,publication_date,publisher_country,distributor_country,publisher,distributor,doi,url
Eight new species of Empoasca (Hemiptera: Cicadellidae: Typhlocybinae: Empoascini) from Peru and Bolivia,Phillip Sterling Southern,2010-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.196388,
A taxonomic revision of South American species of the seed-harvester ant genus Pogonomyrmex (Hymenoptera: Formicidae). Part I,,2015-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4029.1.1,
New minute Drilini species significantly extend the distributions of Lolosia and Microselasia (Coleoptera: Elateridae: Agrypninae) in tropical Africa,Robin Kundrata,2018-11-23,SWITZERLAND,,Plazi,,10.2478/aemnp-2018-0042,
Description of a new species of Hamamelistes forming galls on Fothergilla spp (Hamamelidaceae) and the generic limits of Hormaphidini (Sternorrhyncha Aphididae: Hormaphidinae),Ashley E. Dederich; Susan E. Halbert; Carol D. Von Dohlen,2022-09-12,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/dz7y3x,
"Review of Goniozus Förster, 1856 (Hymenoptera: Bethylidae) of Korea, with descriptions of two new species",Jongok Lim; Seunghwan Lee,2012-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.210794,
Contribution des motifs colorés résiduels dans la discrimination d’espèces nouvelles de Cryptochorda Mörch 1858 Mollusca: Gastropoda: Harpidae de l’Éocène du bassin de Paris et du Cotentin,Jean-Michel Pacaud; Frédéric Sautereau,2020-12-17,SWITZERLAND,,Plazi,,10.5252/geodiversitas2020v42a29,
"Johnius sasakii, a new species of croaker (Perciformes: Sciaenidae) with a key to Johnius from East Malaysia, Borneo",Norhafiz Hanafi; Meng-Hsien Chen; Ying Giat Seah; Chih-Wei Chang; Shang Yin Vanson Liu; Ning Labbish Chao,2022-03-21,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/smn6re,
Oroides pakaluki new genus and new species of Coccidulini from New Guinea (Coleoptera: Coccinellidae),Wioletta Tomaszewska; Adam Ślipiński,2012-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.279902,
"Description of a new species of Bothinodroctonus Schedl, 1969 (Coleoptera: Curculionidae, Scolytinae) from Africa",Miloš Knížek; Michail Mandelshtam,2015-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3964.2.8,
Descriptions of larvae of four species of Hydropsyche (Hydropsychidae: Trichoptera) from Thailand,Taeng On Prommi,2016-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4158.4.9,
"New and little known species of ptyctimous mites (Acari, Oribatida) from Madagascar",Wojciech Niedbała; Josef Starý,2016-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4103.6.8,
Hornmilben (Oribatida) [pages 102 to 148],G. Weigmann; L. Miko,2006-12-31,SWITZERLAND,,Plazi,,10.15468/iaok1x,
"Nippontonia ashmoreiensis sp. nov., (Crustacea: Decapoda; Pontoniinae) from Ashmore Reef, Western Australia",A. J. Bruce,2014-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3847.3.8,
"Some soil-inhabiting mites (Acari: Mesostigmata) from Kazakhstan, with description of a new species of Gaeolaelaps Evans & Till (Acari: Laelapidae)",Omid Joharchi; Aigerim K. Issakova; Olga S. Asyamova; Mohammadhassan Abbasi Sarcheshmeh; Andrei V. Tolstikov,2020-07-24,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4819.3.3,
"The Culicidae (Diptera): a review of taxonomy, classification and phylogeny *",Ralph E. Harbach,2007-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.180118,
Type material of Arctiinae (Lepidoptera: Erebidae) in the collection of the Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Buenos Aires Argentina),Joanna Rodriguez-Ramirez; Hernan Mario Beccacece; Lívia Rodrigues Pinheiro; Juan Grados; Maria Lucila Morono-Brizuela,2020-02-21,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4742.3.2,
"Descriptions of two Cypridopsinae (Ostracoda, Crustacea) species from the Nansei Islands, Japan, with the first records of non-marine ostracods from the Daito Islands",Robin James Smith,2023-05-22,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/zkpb73,
"Review of genus Conocephalus Thunberg, 1815 (Orthoptera: Tettigoniidae: Conocephalinae) with one new species from India",Mohd Kaleemullah Farooqi; Mohd Kamil Usmani,2018-08-22,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4461.3.4,
"CONCERNING THE GENUS “ TIGAVA ” STAL (Hemiptera, Tingitidae)",Oscar Monte,1944-06-30,SWITZERLAND,,Plazi,,10.5281/zenodo.4762403,
"An annotated catalog of the Iranian Dipsocoromorpha, Enicocephalomorpha, Gerromorpha, Leptopodomorpha and Nepomorpha (Hemiptera: Heteroptera)",Hassan Ghahari; Pierre Moulet; Hadi Ostovan; Rauno E. Linnavuori,2013-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3641.4.1,
"The genus Taphaeus Wesmael, 1835 (Hymenoptera: Braconidae: Helconinae) from China with description of a new species",Cheng-Jin Yan; Van Achterberg; Xue-Xin Chen,2012-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.282647,
"Neda Mulsant (Coleoptera, Coccinellidae): Redescriptions and revised combinations of two species formerly placed in Cycloneda Crotch",Marileusa Araújo; Lúcia Massutti De Almeida,2003-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.156739,
There and back again: contributions on Pseudevoplitus Ruckes (Heteroptera: Pentatomidae),Jocelia Grazia; Gisele Jardim Bolze; Kim Ribeiro Barão,2016-02-09,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4078.1.15,
Phylogeny of Dynastor and Brassolis butterflies (Lepidoptera: Nymphalidae): a tough nut to crack,Ivonne J. Garzón-Orduña; Carla M. Penz,2009-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.188448,
"Systematics of Trichoteleia Kieffer and Paridris Kieffer (Hymenoptera, Platygastroidea, Platygastridae)",Elijah J. Talamas; Lubomir Masner; Norman F. Johnson,2013-08-05,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.3897/jhr.34.4714,
"The feather mites of the hoatzin Opisthocomus hoazin (Müller) (Aves: Opisthocomiformes), with the description of two new genera and six new species (Acari: Analgoidea, Pterolichoidea)",Fabio A. Hernandes; Sergey V. Mironov,2015-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4034.3.1,
A review of neococcid scale insects (Hemiptera: Sternorrhyncha: Coccomorpha) based on the morphology of the adult males,Chris Hodgson,2020-04-16,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4765.1.1,
Two new species of the Rhyacophila anatina Species Group from China (Trichoptera: Rhyacophilidae),Changhai Sun,2016-03-02,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4085.2.7,
The Heliothinae of Iran (Lepidoptera: Noctuidae),Alexej Matov; Reza Zahiri; Jeremy D. Holloway,2008-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.181966,
Oribatid mites (Acari: Oribatida) associated with raspberry shrubs in Iran,S. Mortazavi; P. Tajmiri; J. Hajizadeh; Northern I,2012-12-28,SWITZERLAND,,Plazi,,10.5281/zenodo.5335259,
"Description of three new species of Isoctenus Bertkau, 1880 and new records for I. areia Polotow & Brescovit (Araneae, Ctenidae) from northeastern Brazil",Isadora M. Pontes Moraes; Daniele Polotow; Facundo M. Labarque; Marcio B. Da Silva,2023-07-07,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/wugzts,
Oribates globosus,C. L. Koch,1844-12-31,SWITZERLAND,,Plazi,,10.15468/etevq9,
"Two new species in the genus Andronymus Holland, 1896 (Lepidoptera, Hesperiidae)",Szabolcs Sáfián; Claudio Belcastro; Robert Tropek,2019-06-27,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4624.1.7,
"A new dromiid crab (Crustacea, Brachyura, Dromioidea) from the Upper Eocene of Huesca (Aragón, northern Spain)",Pedro Artal; Barry W. M. Van Bakel; José L. Domínguez; Guillermo Gómez,2016-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4061.4.8,
"Koorchaloma oryzae sp. nov. (Stachybotryaceae, Sordariomycetes), from Oryza sativa (Poaceae) in northern Thailand",Xingguo Tian; Samantha C. Karunarathna; Ausana Mapook; Jianchu Xu; Danfeng Bao; Itthayakorn Promputtha; Saowaluck Tibpromma,2021-11-09,SWITZERLAND,,Plazi,,10.11646/phytotaxa.524.4.4,
"The first Rhynchomicropteron Annandale, 1912 (Diptera, Phoridae) species from the Palearctic region, with taxonomic and faunistic notes on the fauna of Israel",Gábor Dániel Lengyel,2011-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.207378,
"A new species of Chamaecrista sect. Absus (Leguminosae, Caesalpinioideae) from Minas Gerais, Brazil, with Notes on Leaf Anatomy",Laís Couto Zeferino; Gwilym Peter Lewis; Wanderleia De Vargas; Elisa S. Cândido; Mohammad Vatanparast; Marcos José Da Silva; Pedro Hiroshi Pereira Murashima; Ana Paula Fortuna-Perez,2022-02-28,SWITZERLAND,,Plazi,,10.15468/4ybs4z,
"First identification of the genus Argyrosomus (Teleostei, Sciaenidae) in Neogene African outcrops",Olga Otero; Philippe Béarez; Thodoris Argyriou,2013-03-29,SWITZERLAND,,Plazi,,10.5252/g2013n1a4,
"Taxonomic review of the Craniophora s. l. (Lepidoptera, Noctuidae, Acronictinae) generic complex with description of 8 new genera and 13 new species",Ádám Kiss,2017-11-27,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4355.1.1,
"Taxonomic status of the disjunct populations of the resin bee Anthidiellum breviusculum (Pérez, 1890) s. l. in the Mediterranean (Apoidea: Anthidiini)",Max Kasparek; Thomas Wood; Sónia Ferreira; Noudjoud Benarfa,2023-01-25,SWITZERLAND,,Plazi,,10.15468/7r33cc,
"A new species of Emersonella (Hymenoptera: Eulophidae), parasitoid on weevil eggs (Coleoptera: Curculionidae), from Costa Rica",Christer Hansson; Kenji Nishida,2004-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.158082,
"DNA barcodes, morphology and geographic distribution confirm a new butterfly species in the genus Rhamma (Lepidoptera: Lycaenidae)",Carlos Prieto; Carlos Federico Álvarez Hincapie; Alejandra Clavijo Giraldo; Sandra Uribe,2020-07-30,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4821.1.11,
"Wasp-mimicking soldier flies of the Australian Region: revision of Ampsalis Walker, Elissoma White and Lagenosoma Brauer (Stratiomyidae: Clitellariinae)",Shaun L. Winterton,2023-02-24,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/n47v86,
"New names of Ilex and Ilexpollenites (Aquifoliaceae), extant and fossil: Addendum Notulae Systematicae ad Palaeofloram Europaeam spectantes II. Aquifoliaceae",Alexander B. Doweld,2022-01-18,SWITZERLAND,,Plazi,,10.15468/y47wgf,
"New species of the genus Oligoneuriella Ulmer, 1924 (Ephemeroptera: Oligoneuriidae) from Turkey",Pavel Sroka; Jindřiška Bojková; Tomáš Soldán; Roman J. Godunko,2015-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4012.2.4,
Males of the genus Sericostoma Latreille 1825 in Turkey (Trichoptera Sericostomatidae),Füsun Sipahiler,2021-04-29,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4965.3.4,
"A revision of Chrysopidae (Neuroptera) from the late Eocene Florissant Formation Colorado, with description of new species",Vladimir N. Makarkin; Gwen S. Antell; S. Bruce Archibald,2022-05-05,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/stjvkb,
"Description of five new species of frog-biting midges (Diptera, Corethrellidae) from Brazil and examination of new morphological characters with utility for taxonomic and phylogenetic studies",André P. Amaral; Rodolfo Mariano; Luiz Carlos Pinho,2023-06-14,SWITZERLAND,,Plazi,,10.15468/benphr,
Reevaluation of the Genera Compsoneuria Eaton and Trichogenia Braasch & Soldán (Ephemeroptera: Heptageniidae),J. M. Webb; D. Braasch; W. P. Mccaferty,2006-10-16,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.174283,
"Taxonomy and distribution pattern of the African rain forest butterfly genus Euphaedra Huebner sensu stricto with the description of three new subspecies of Euphaedra cyparissa (Cramer) and one of E. sarcoptera (Butler) (Lepidoptera, Nymphalidae, Limenitidinae, Adoliadini)",Tomasz W. Pyrcz; Haydon Warren-Gash; Jadwiga Lorenc-Brudecka; Philippe Oremans; Szabolcs Safian,2013-05-10,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.3897/zookeys.298.4894,
"The Upper Devonian fish Bothriolepis (Placodermi: Antiarchi) from near Canowindra, New South Wales, Australia",Zerina Johanson,1998-11-25,SWITZERLAND,,Plazi,,10.3853/j.0067-1975.50.1998.1289,
Molecular and morphological analyses disclose the existence of three species of Dolichopoda (Orthoptera: Rhaphidophoridae) in the Calabria region (Italy),Claudio Di Russo; Giuliana Allegrucci; Mauro Rampini,2023-03-30,SWITZERLAND,,Plazi,,10.15468/sqhdrn,
Synopsis of the genus Pseudocriopsis (Insecta: Coleoptera: Cerambycidae),Marcela L. Monné; Diego De S. Souza; Amanda P. De Mello; Miguel A. Monné,2020-05-11,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4772.3.4,
"A new species of Alterosa Blahnik (Trichoptera: Philopotamidae: Philopotaminae) from Espírito Santo State, southeastern Brazil",Patrik Barcelos-Silva; Leandro Lourenço Dumas; Ana Maria Pes,2015-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3931.4.9,
Some shallow water octocorals (Coelenterata: Anthozoa) of the Persian Gulf,Samimi Namin; Van Ofwegen,2009-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.186743,
"Updated catalog and generic keys of the Leiodidae (Insecta: Coleoptera) of the Neotropical region (“ Latin America ”: Mexico, the West Indies, and Central and South America)",Stewart B. Peck; Pedro Gnaspini; Alfred F. Newton,2020-02-18,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4741.1.1,
"A revision of dragon millipedes III: the new genus Gigaxytes gen. nov., with the description of three new species (Diplopoda, Polydesmida, Paradoxosomatidae)",Ruttapon Srisonchai; Henrik Enghoff; Natdanai Likhitrakarn; Somsak Panha,2018-09-27,SWITZERLAND,,Plazi,,10.5852/ejt.2018.463,
Thysanoptera: Thrips of Guam,Dudley Moulton,1942-12-31,SWITZERLAND,,Plazi,,10.5281/zenodo.3634035,
Phylogeny and biogeography of wild roses with specific attention to polyploids,Marie Fougère-Danezan; Simon Joly; Anne Bruneau; Xin-Fen Gao; Li-Bing Zhang,2014-12-24,SWITZERLAND,,Plazi,,10.15468/rj843u,
"Three new species of myrmecophilous scutacarid mites (Acari: Scutacaridae) from Western Siberia, Russia",Alexander A. Khaustov,2015-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4013.2.7,
A revision of the endemic Malagasy genus Beguea (Sapindaceae),,2017-03-30,SWITZERLAND,,Plazi,,10.15553/c2017v721a6,
"Description of two new species, Aphanolaimus strilliae n. sp. (Nematoda: Aphanolaimidae) and Makatinus africanus n. sp. (Nematoda: Aporcelaimidae), and SEM observations on three known species from freshwater sources in the Telperion Nature Reserve (Mpumalanga, South Africa)",Chantelle Girgan; Mariette Marais; Hendrika Fourie; Lourens Tiedt; Antoinette Swart,2019-08-05,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4651.2.1,
A new oryzomyine (Rodentia: Sigmodontinae) from the Quaternary of Curaçao (West Indies),Jelle S. Zijlstra,2012-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.282797,
Generic key and catalogue of Mymaridae (Hymenoptera) of Mexico,Adriana J. Guzmán-Larralde; John T. Huber; Humberto Quiroz Martínez,2017-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4254.1.1,
"Two new species of Metapocyrtus (Orthocyrtus) Heller, 1912 (Coleoptera, Curculionidae, Entiminae) from southern Mindanao, Philippines, with ecological notes",Analyn A. Cabras; Rizalyn Cudera; Joelyn Mamon; Milton Norman D. Medina,2022-08-09,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.15468/t8e5b9,
"Review of the ant genus Nesomyrmex Wheeler, 1910 (Hymenoptera, Formicidae, Myrmicinae) from the Arabian Peninsula",Mostafa R. Sharaf; Shahid Ali Akbar; Abdulrahman S. Aldawood; Francisco Hita Garcia,2017-12-31,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.3897/afrinvertebr.58.12782,
"Review of the genus Ypsolopha Latreille, 1796 from China (Lepidoptera: Ypsolophidae)",Qing Jin; Shuxia Wang; Houhun Li,2013-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3705.1.1,
"A new species of Physomerinus Jeannel (Coleoptera, Staphylinidae, Pselaphinae) from Jiulong National Wetland Park, China",Zi-Wei Yin,2023-03-16,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.15468/zdhmwy,
"Descriptions of eight new species of the genus Parancistrocerus Bequaert (Hymenoptera: Vespidae: Eumeninae), with a key to the Oriental species",Tingjing Li; James M. Carpenter,2019-02-01,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4551.3.1,
"A review of the flying fish genus Cypselurus (Beloniformes: Exocoetidae). Part 2. Revision of the subgenus Poecilocypselurus Bruun, 1935 with descriptions of three new species and five new subspecies and reinstatement of Exocoetus apus Valenciennes and E. neglectus Bleeker",Ilia B. Shakhovskoy; Nikolay V. Parin,2022-03-23,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/2huhwt,
Rhamphoriopsis hyalospora sp. nov. associated with decaying wood from China,Chuan-Gen Lin; Jian-Kui Liu; Ekachai Chukeatirote; Kevin D. Hyde,2023-05-25,SWITZERLAND,,Plazi,,10.15468/r9ebu8,
"West Palaearctic species of the genus Diostracus Loew, 1861 (Diptera: Dolichopodidae)",Igor Ya. Grichanov,2013-10-30,SWITZERLAND,,Plazi,,10.5852/ejt.2013.61,
"A new species of Stizocera Audinet-Serville, 1834 (Coleoptera: Cerambycidae) from Colombia with an updated key to species of the genus and new geographical records in Cerambycinae",Carlos Taboada-Verona; Juan Pablo Botero,2020-08-28,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.11606/1807-0205/2020.60.46,
"Using DNA barcodes to test the association of sexes and morphs in Calodesma spp (Lepidoptera, Erebidae, Arctiinae, Arctiini, Pericopina) of Trinidad, West Indies with an overview of the genus, taxonomic changes and a new species",Matthew J. W. Cock; Michel Laguerre; Alan G. Buddie; Giovanni Cafa; Scott Alston-Smith; John Morrall; Venkata Siva Gosula,2023-04-20,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/hghud2,
"Three new species of Psyrassa Pascoe, 1866 (Coleoptera, Cerambycidae, Cerambycinae)",Antonio Santos-Silva; Juan Pablo Botero; Carlos Taboada-Verona,2017-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4250.5.8,
"A new species of Furciseta (Diptera, Ctenostylidae) from the Brazilian Amazon",J. T. Câmara; J. A. Rafael,2013-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3669.2.5,
"Mites of the superfamily Pygmephoroidea (Acari: Heterostigmata: Neopygmephoridae, Pygmephoridae) associated with Trox cadaverinus (Coleoptera: Trogidae) from the Far East of Russia, with description of a new genus and two new species",Alexandr A. Khaustov; Viacheslav A. Trach,2014-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3754.1.4,
The species of Gonocnemis and Paragonocnemis from Borneo with notes on synonymy in the Oriental species (Coleoptera: Tenebrionidae),Hans J. Bremer; Roland Grimm,2017-12-31,SWITZERLAND,,Plazi,,10.1515/aemnp-2017-0079,
"Catalogo delle formiche esistenti nelle collezioni del Museo Civico di Genova. Parte prima. Formiche provenienti dall Viaggio dei signori Antinori, Beccari e Issel nel Mar Rosso e nel paese dei Bogos.",C. Emery,1877-12-31,SWITZERLAND,,Plazi,,10.15468/8c9t2r,
"Two new species of Myersiohyla (Anura: Hylidae) from Cerro de la Neblina, Venezuela, with comments on other species of the genus",Julián Faivovich; Roy W. Mcdiarmid; Charles W. Myers,2013-12-20,SWITZERLAND,,Plazi,,10.1206/3792.1,
"New species and new records of millipedes of the genus Rhinocricus Karsch, 1881 (Spirobolida: Rhinocricidae) from southern Brazil",Patrícia E. S. Rodrigues; Ricardo Ott; Everton N. L. Rodrigues,2012-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.210107,
"The family Nyctaginaceae (Caryophyllales) in Sonora, Mexico",Manuel Higinio Sandoval-Ortega; José Jesús Sánchez-Escalante,2022-12-06,SWITZERLAND,,Plazi,,10.15468/e4g47u,
"Afrotropical species of the genus Sculptolobus Yang, van Achterberg & Chen (Hymenoptera, Braconidae, Braconinae)",Konstantin Samartsev; Cornelis van Achterberg,2021-08-24,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.3897/jhr.84.68702,
A catalogue of the Heteroptera (Hemiptera) or true bugs of Argentina,María Del Carmen Coscarón,2017-07-24,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4295.1.1,
"A new species of Malthonea Thomson, 1864 (Coleoptera, Cerambycidae, Lamiinae) from Ecuador",Antonio Santos-Silva; Maria Helena M. Galileo; Jim McClarin,2018-02-20,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.11606/1807-0205/2018.58.14,
"A new genus and seven new species of Onciderini Thomson, 1860 (Coleoptera: Cerambycidae: Lamiinae) from Central and South America",Eugenio H. Nearns; Francisco E. de. L. Nascimento,2019-02-22,SWITZERLAND,,Plazi,,10.5281/zenodo.3670443,
"Ontogenetic instars of Melanozetes paramollicomus sp. nov., with remarks on morphological ontogeny of Sphaerozetinae (Acari: Oribatida: Ceratozetidae)",Badamdorj Bayartogtokh; Sergey G. Ermilov; Umukusum Ya. Shtanchaeva; Luis S. Subías,2021-12-30,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.5086.1.7,
A remarkable example of symbiosis between an animal and a fungus in a new species of legless mealybug (Insecta: Pseudococcidae),I. A. Gavrilov-Zimin,2017-08-24,SWITZERLAND,,Plazi,,10.1080/00222933.2017.1365180,
"New species of Brachiacantha Dejean, 1837 (Coleoptera: Coccinellidae) from Mexico and Central America",Jorge Ismael Nestor-Arriola; Víctor Hugo Toledo-Hernández,2017-12-15,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4365.1.2,
"Ostracods from the Barbalha and Crato formations, Aptian of the Araripe Basin, northeast Brazil",Marcos Antonio Batista Dos Santos Filho; Daiane Ceolin; Gerson Fauth; Francisco Henrique De Oliveira Lima,2023-07-26,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/vu7ywx,
Raising the Dead: Rediscovery and redescription of some lost spider types (Araneae) described by Eugene Simon,Nadine Duperre; Danilo Harms,2018-12-31,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.3897/evolsyst.2.24122,
"Priopoda Holmgren, 1856 (Hymenoptera, Ichneumonidae) from Nepal with a key to the Oriental and Eastern Palaearctic species",Alexey V. Reshchikov,2012-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.213018,
Clarification of the diagnosis of the genus Loxosoma s. l. (Entoprocta; Loxosomatidae) based on morphological and molecular data,Anastasia Borisanova; Dimitry Schepetov,2023-08-09,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/5uruuf,
"Review of the last instar larvae and pupae of Hexatoma (Eriocera) and Hexatoma (Hexatoma) (Diptera, Limoniidae, Limnophilinae)",Virginija Podeniene; Jon K. Gelhaus,2015-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4021.1.4,
"The phylogeny of Opoptera butterflies, and an assessment of the systematic position of O. staudingeri (Lepidoptera, Nymphalidae)",Carla M. Penz,2009-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.185409,
"A new species of Micardia Butler, 1878 (Lepidoptera, Noctuidae, Eustrotiinae) from China",Zhao-Wen Liang; Hong-Bin Zhu; Qin Weng; Chang-Hai Sun,2019-02-21,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4559.3.12,
"Mustura daral, a new species of stone loach from Arunachal Pradesh, Northeast India (Teleostei: Nemacheilidae)",Yumnam Rameshori; Yengkhom Chinglemba; Achom Darshan; Waikhom Vishwanath,2022-04-27,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/dajjm5,
"A new species of Paracortina from a Vietnamese cave, with remarkable secondary sexual characters in males (Callipodida, Paracortinidae)",Anh D. Nguyen; Pavel Stoev; Lien T. P. Nguyen; Tam T. Vu,2023-02-23,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.15468/fzzqcp,
"The Collothecidae (Rotifera, Collothecacea) of Thailand, with the description of a new species and an illustrated key to the Southeast Asian fauna",Phuripong Meksuwan; Pornsilp Pholpunthin; Hendrik Segers,2013-12-31,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.3897/zookeys.315.5330,
New records of the grassland leafhopper genus Doratura Sahlberg (Hemiptera: Cicadellidae: Deltocephalinae: Chiasmini) from China,Yani Duan; Yalin Zhang,2012-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.208753,
Three new species of bristletails of the families Meinertellidae and Machilidae (Archaeognatha) from Ukraine and Southern Russia,Vladimir Kaplin; Vladimir Martynov,2020-08-05,SWITZERLAND,,Plazi,,10.37520/aemnp.2020.30,
"A new species of Paracometes Villiers, 1958 from Panama (Coleoptera, Cerambycidae, Disteniinae)",Daniel Heffern; Antonio Santos-Silva,2016-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4072.5.8,
"Fine morphology of the cuticle surface of Chordodes anthophorus and reinterpretation of C. aquaeductus, C. ferganensis and C. oscillatus (Gordiida Nematomorpha)",Cristina De Villalobos; Fernanda Zanca; Sergei Spiridonov,2007-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.273682,
