title,creators,publication_date,publisher_country,distributor_country,publisher,distributor,doi,url
An overview of the Ephydridae (Diptera) of Saudi Arabia,Hassan A. Dawah; Syed K. Ahmad; Mohammed A. Abdullah; Tadeusz Zatwarnicki,2019-12-17,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4711.3.1,
Styphlus (s. str.) eteocretus sp. n. from Greece (Coleoptera: Curculionidae),,2016-12-31,SWITZERLAND,,Plazi,,10.5281/zenodo.166537,
"New species of Tobantilla Casal, 1965 and a new genus and species, Gogoltilla chichikovi gen. et sp. nov., from Argentina (Hymenoptera: Mutillidae)",Kevin A. Williams; Denis J. Brothers; James P. Pitts,2011-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.278958,
A new species of Pandanus-dwelling frog from northern Madagascar related to Guibemantis pulcher,Miguel Vences; Carl R. Hutter; Frank Glaw; Andolalao Rakotoarison; Achille P. Raselimanana; Mark D. Scherz,2023-06-19,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/td7ry5,
"A supplement of the genus Phlugiolopsis Zeuner, 1940 (Tettigoniidae: Meconematinae) from Yunnan, China",Mengjia Zheng; Yanhao Duan; Qing Liu; Yanlin Chang,2023-06-21,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/adh637,
"Nomenclature and synonymic remarks on two species of Eupterotidae (Lepidoptera) described by Johan Christian Fabricius, and notes on related species",Vadim V. Zolotuhin,2018-09-05,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4471.2.11,
"A new species of Cogia from Oaxaca, Mexico (Lepidoptera: Hesperiidae: Eudaminae)",Andrew D. Warren; Diego R. Dolibaina; Claudia Hernández-Mejía,2015-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3941.2.4,
"Taxonomic revision of Collaria Provancher, 1872 (Hemiptera: Miridae) with the description of a new species from the Afrotropical region",Irina Morales; Paulo S. F. Ferreira; Dimitri Forero,2016-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4138.2.1,
"A new genus of Compositae (Eupatorieae, Piqueriinae) from Peru, named Centenaria to honour the 100 th anniversary of the Natural History Museum of the National University Mayor of San Marcos",Paul onzales; Asuncion ano; Harold Robinson,2018-12-31,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.3897/phytokeys.113.28242,
Revision of carpenter bees of the subgenus Neoxylocopa Michener (Hymenoptera: Apidae) from Mexico and Mesoamerica,Jorge A. Mérida-Rivas; Ismael A. Hinojosa-Díaz; Ricardo Ayala-Barajas; Carmen Pozo; Rémy Vandame,2022-06-27,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/xk4hpz,
